instance_name,problem_type,bool_capacity,filepath,num_customers,num_routes,fitness
R1_10_8.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_8.txt,1000,103,63919.645063210235
R1_10_9.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_10_9.txt,1000,155,90546.4893584337
R1_2_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_1.txt,200,59,9399.451048424111
R1_2_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_10.txt,200,27,5664.729943968254
R1_2_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_2.txt,200,52,9037.113651162555
R1_2_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_3.txt,200,38,7133.107634721037
R1_2_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_4.txt,200,27,5700.363331199684
R1_2_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_5.txt,200,50,8347.093542792474
R1_2_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_6.txt,200,44,7734.945121601762
R1_2_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_7.txt,200,34,6317.656249622894
R1_2_8.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_8.txt,200,25,5197.20910993757
R1_2_9.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_2_9.txt,200,41,7406.543966010527
R1_4_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_1.txt,400,97,21273.814742621806
R1_4_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_10.txt,400,50,13798.415949043449
R1_4_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_2.txt,400,87,20005.819644542447
R1_4_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_3.txt,400,62,15063.061836403996
R1_4_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_4.txt,400,49,12363.556488206244
R1_4_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_5.txt,400,82,19449.021311769793
R1_4_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_6.txt,400,70,17107.750395686777
R1_4_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_7.txt,400,62,14778.947435564321
R1_4_8.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_8.txt,400,43,11625.661152450131
R1_4_9.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_4_9.txt,400,64,15975.723947604245
R1_6_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_1.txt,600,132,45756.875560157285
R1_6_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_10.txt,600,73,28372.154865680062
R1_6_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_2.txt,600,108,39303.85044348787
R1_6_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_3.txt,600,85,31525.237907411964
R1_6_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_4.txt,600,71,26776.981358939065
R1_6_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_5.txt,600,116,40835.531401715634
R1_6_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_6.txt,600,100,37468.473810440555
R1_6_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_7.txt,600,87,31854.644895502515
R1_6_8.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_8.txt,600,67,25588.556951805574
R1_6_9.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_6_9.txt,600,93,34505.597192303154
R1_8_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_1.txt,800,173,79655.07289677493
R1_8_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_10.txt,800,100,51289.518517050536
R1_8_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_2.txt,800,146,70916.5103071199
R1_8_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_3.txt,800,116,58584.228456970384
R1_8_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_4.txt,800,85,43961.9241946065
R1_8_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_5.txt,800,151,69961.17090428929
R1_8_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_6.txt,800,133,67359.56897170651
R1_8_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_7.txt,800,107,54770.700914089466
R1_8_8.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_8.txt,800,85,45777.29810733097
R1_8_9.txt,VRPTW,True,Sets/Vrp-Set-HG/R1_8_9.txt,800,133,64115.35713997027
R2_10_1.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_1.txt,1000,127,92952.12379019671
R2_10_10.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_10.txt,1000,66,65552.38283664566
R2_10_2.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_2.txt,1000,99,82871.80078135835
R2_10_3.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_3.txt,1000,77,66318.496304602
R2_10_4.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_4.txt,1000,50,47463.80367382336
R2_10_5.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_5.txt,1000,95,78980.18721831568
R2_10_6.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_6.txt,1000,84,74784.41559895428
R2_10_7.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_7.txt,1000,69,60539.38394715055
R2_10_8.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_8.txt,1000,42,42593.33692259513
R2_10_9.txt,VRPTW,True,Sets/Vrp-Set-HG/R2_10_9.txt,1000,87,76209.11866353369
