row_index,variant_name,functions_count,terminals_count,constants_count,size_total
478,CVRP,3,3,1,7
479,CVRP,3,3,1,7
480,CVRP,3,3,1,7
481,CVRP,4,3,2,9
482,MDCVRP,2,2,1,5
483,MDCVRP,4,4,1,9
484,MDCVRP,3,3,1,7
485,MDCVRP,3,3,1,7
486,MDCVRP,3,3,1,7
487,MDCVRP,3,4,0,7
488,MDCVRP,4,5,0,9
489,MDCVRP,4,4,1,9
490,MDCVRP,4,4,1,9
491,MDCVRP,3,3,1,7
492,MDCVRP,4,4,1,9
493,MDCVRP,6,5,2,13
494,MDCVRP,4,3,2,9
495,MDCVRP,4,4,1,9
496,MDCVRP,3,3,1,7
497,MDCVRP,4,3,2,9
498,MDCVRP,4,4,1,9
499,MDCVRP,3,3,1,7
500,MDCVRP,5,4,2,11
501,MDCVRP,3,3,1,7
502,GVRP,8,6,3,17
503,GVRP,3,4,0,7
504,GVRP,3,3,1,7
505,GVRP,5,6,0,11
506,GVRP,3,3,1,7
507,GVRP,4,3,2,9
508,GVRP,6,4,3,13
509,GVRP,10,7,4,21
510,GVRP,3,3,1,7
511,GVRP,5,4,2,11
512,GVRP,7,6,2,15
513,GVRP,6,5,2,13
514,GVRP,2,2,1,5
515,GVRP,4,4,1,9
516,GVRP,5,3,3,11
517,GVRP,7,5,3,15
518,GVRP,3,3,1,7
519,GVRP,4,4,1,9
520,GVRP,4,4,1,9
521,GVRP,5,5,1,11
522,GVRP-MD,5,5,1,11
523,GVRP-MD,6,6,1,13
524,GVRP-MD,9,8,4,21
525,GVRP-MD,6,5,2,13
526,GVRP-MD,4,4,1,9
527,GVRP-MD,8,6,3,17
528,GVRP-MD,7,5,3,15
529,GVRP-MD,4,4,1,9
530,GVRP-MD,5,5,1,11
531,GVRP-MD,7,5,3,15
532,GVRP-MD,6,5,2,13
533,GVRP-MD,9,7,3,19
534,GVRP-MD,6,5,2,13
535,GVRP-MD,7,7,1,15
536,GVRP-MD,7,4,4,15
537,GVRP-MD,7,6,2,15
538,GVRP-MD,7,8,0,15
539,GVRP-MD,6,7,0,13
540,GVRP-MD,5,4,2,11
541,GVRP-MD,10,9,2,21
542,VRPTW,5,5,1,11
543,VRPTW,6,4,3,13
544,VRPTW,8,6,3,17
545,VRPTW,4,4,1,9
546,VRPTW,5,4,2,11
547,VRPTW,8,7,2,17
548,VRPTW,4,4,1,9
549,VRPTW,2,1,2,5
550,VRPTW,11,8,4,23
551,VRPTW,6,5,2,13
552,VRPTW,4,4,1,9
553,VRPTW,5,4,2,11
554,VRPTW,2,1,2,5
555,VRPTW,8,5,4,17
556,VRPTW,8,6,3,17
557,VRPTW,5,3,3,11
558,VRPTW,6,5,2,13
559,VRPTW,6,6,1,13
560,VRPTW,5,5,1,11
561,VRPTW,7,4,4,15
562,MDVRPTW,5,3,3,11
563,MDVRPTW,3,2,2,7
564,MDVRPTW,4,4,1,9
565,MDVRPTW,6,5,2,13
566,MDVRPTW,2,2,1,5
567,MDVRPTW,8,5,4,17
568,MDVRPTW,3,3,1,7
569,MDVRPTW,3,3,1,7
570,MDVRPTW,7,7,1,15
571,MDVRPTW,5,5,1,11
572,MDVRPTW,9,7,3,19
573,MDVRPTW,5,6,0,11
574,MDVRPTW,5,5,1,11
575,MDVRPTW,6,5,2,13
576,MDVRPTW,6,5,2,13
577,MDVRPTW,16,17,0,33
578,MDVRPTW,12,8,5,25
579,MDVRPTW,7,5,3,15
580,MDVRPTW,5,2,4,11
581,G-VRPTW,5,4,2,11
582,G-VRPTW,7,6,2,15
583,G-VRPTW,6,6,1,13
584,G-VRPTW,9,6,4,19
585,G-VRPTW,7,5,3,15
586,G-VRPTW,6,6,1,13
587,G-VRPTW,4,5,0,9
588,G-VRPTW,4,4,1,9
589,G-VRPTW,7,6,2,15
590,G-VRPTW,17,6,12,35
591,G-VRPTW,8,9,0,17
592,G-VRPTW,5,5,1,11
593,G-VRPTW,11,7,5,23
594,G-VRPTW,16,14,3,33
595,G-VRPTW,4,4,1,9
596,G-VRPTW,6,5,2,13
597,G-VRPTW,6,5,2,13
598,G-VRPTW-MD,7,5,3,15
599,G-VRPTW-MD,7,4,4,15
600,G-VRPTW-MD,6,6,1,13
601,G-VRPTW-MD,14,10,5,29
602,G-VRPTW-MD,7,6,2,15
603,G-VRPTW-MD,8,7,2,17
604,G-VRPTW-MD,7,6,2,15
605,G-VRPTW-MD,10,7,4,21
606,G-VRPTW-MD,5,4,2,11
607,G-VRPTW-MD,7,7,1,15
608,G-VRPTW-MD,8,4,5,17
609,G-VRPTW-MD,7,7,1,15
610,G-VRPTW-MD,6,7,0,13
611,G-VRPTW-MD,7,6,2,15
612,G-VRPTW-MD,6,7,0,13
613,G-VRPTW-MD,6,5,2,13
614,G-VRPTW-MD,7,4,4,15
615,CVRP,4,4,1,9
616,CVRP,6,5,4,15
617,CVRP,3,3,1,7
618,CVRP,6,4,3,13
619,CVRP,5,4,2,11
620,CVRP,4,4,1,9
621,CVRP,5,4,2,11
622,CVRP,4,4,1,9
623,CVRP,6,5,2,13
624,CVRP,5,5,1,11
625,CVRP,5,4,2,11
626,CVRP,4,5,0,9
627,CVRP,5,6,0,11
628,CVRP,3,2,2,7
629,CVRP,5,6,0,11
630,CVRP,6,4,3,13
631,CVRP,6,4,3,13
632,CVRP,4,5,0,9
633,CVRP,3,3,1,7
634,CVRP,6,5,2,13
635,MDCVRP,5,4,2,11
636,MDCVRP,5,4,2,11
637,MDCVRP,7,4,4,15
638,MDCVRP,7,6,2,15
639,MDCVRP,5,5,1,11
640,MDCVRP,5,5,1,11
641,MDCVRP,8,6,3,17
642,MDCVRP,3,3,1,7
643,MDCVRP,3,4,0,7
644,MDCVRP,7,7,1,15
645,MDCVRP,7,6,2,15
646,MDCVRP,5,5,3,13
647,MDCVRP,8,7,2,17
648,MDCVRP,4,4,1,9
649,MDCVRP,4,4,1,9
650,MDCVRP,5,4,2,11
651,MDCVRP,6,6,1,13
652,MDCVRP,7,7,1,15
653,MDCVRP,6,5,2,13
654,MDCVRP,4,4,1,9
655,GVRP,5,4,2,11
656,GVRP,4,4,1,9
657,GVRP,8,9,0,17
658,GVRP,4,4,1,9
659,GVRP,6,6,1,13
660,GVRP,9,10,0,19
661,GVRP,7,7,1,15
662,GVRP,6,5,2,13
663,GVRP,9,7,3,19
664,GVRP,6,6,1,13
665,GVRP,7,7,1,15
666,GVRP,7,6,3,16
667,GVRP,6,5,2,13
668,GVRP,7,6,3,16
669,GVRP,8,6,3,17
670,GVRP,5,6,0,11
671,GVRP,5,5,1,11
672,GVRP,4,4,1,9
673,GVRP,3,4,0,7
674,GVRP,5,5,1,11
675,GVRP-MD,9,7,3,19
676,GVRP-MD,8,6,3,17
677,GVRP-MD,7,6,2,15
678,GVRP-MD,7,6,2,15
679,GVRP-MD,5,5,1,11
680,GVRP-MD,11,6,6,23
681,GVRP-MD,8,7,2,17
682,GVRP-MD,6,6,1,13
683,GVRP-MD,5,5,1,11
684,GVRP-MD,8,7,2,17
685,GVRP-MD,4,5,0,9
686,GVRP-MD,5,4,2,11
687,GVRP-MD,6,6,1,13
688,GVRP-MD,7,4,4,15
689,GVRP-MD,9,6,4,19
690,GVRP-MD,10,6,5,21
691,GVRP-MD,6,4,3,13
692,VRPTW,6,7,1,14
693,VRPTW,7,6,2,15
694,VRPTW,7,5,3,15
695,VRPTW,5,5,1,11
696,VRPTW,5,6,0,11
697,VRPTW,27,14,14,55
698,VRPTW,6,6,1,13
699,VRPTW,6,6,1,13
700,VRPTW,6,5,2,13
701,VRPTW,5,6,0,11
702,VRPTW,5,6,0,11
703,VRPTW,9,8,2,19
704,VRPTW,7,4,4,15
705,VRPTW,9,4,6,19
706,VRPTW,3,4,0,7
707,VRPTW,6,4,3,13
708,VRPTW,12,9,4,25
709,VRPTW,5,4,2,11
710,VRPTW,5,4,2,11
711,VRPTW,6,6,1,13
712,MDVRPTW,6,6,1,13
714,MDVRPTW,5,5,1,11
715,MDVRPTW,7,6,2,15
716,MDVRPTW,17,10,8,35
717,MDVRPTW,8,8,2,18
718,MDVRPTW,10,9,2,21
719,MDVRPTW,6,6,1,13
720,MDVRPTW,6,6,1,13
721,MDVRPTW,7,6,2,15
722,MDVRPTW,8,7,2,17
723,MDVRPTW,6,4,3,13
724,MDVRPTW,6,5,2,13
725,MDVRPTW,9,7,3,19
726,MDVRPTW,5,6,0,11
727,MDVRPTW,15,8,8,31
728,MDVRPTW,9,5,5,19
729,MDVRPTW,5,5,1,11
730,G-VRPTW,14,11,4,29
731,G-VRPTW,9,7,3,19
732,G-VRPTW,8,4,5,17
733,G-VRPTW,5,4,2,11
734,G-VRPTW,11,8,4,23
736,G-VRPTW,6,7,0,13
737,G-VRPTW,16,13,4,33
738,G-VRPTW,7,8,0,15
739,G-VRPTW,7,6,2,15
740,G-VRPTW,8,5,4,17
741,G-VRPTW,7,7,1,15
742,G-VRPTW,4,5,0,9
743,G-VRPTW,7,6,2,15
744,G-VRPTW,11,9,3,23
745,G-VRPTW,5,5,1,11
746,G-VRPTW-MD,6,5,2,13
748,G-VRPTW-MD,8,8,1,17
749,G-VRPTW-MD,7,5,3,15
